name,num
FlyWhale,1040
JazzOffer,367
PMC,1
JAZZ,21294
Jazz World,1946
DigiSkills,164
JazzWorld,397
#SIMLAGAO,1090
NEXT-HEALTH,8
NUTRIFACTOR,57
Whatsapp,901
InfoSMS,1328
SEHAT,10
Warid,919
ANF,489
Daraz,3397
Microsoft,182
INFOSMS,2339
TapalMezban,11
MCB,2083
Tez,796
PPHI SINDH,3
Dogar Books,21
Estate HUB,2
Digi Alert,3
Verify,517
Telegram,100
PAF-ISC-SKR,1
DEVELOPIFY,9
Plot N Plan,5
TCF,18
ALKARAM,253
UFONE,11740
ETHNIC,50
Ufone,21405
ZEEN,40
Outfitters,360
ONIEO,196
Daewoo,356
UNZE LONDON,308
UPaisaKaro,279
Brands Ego,311
SocialOffer,217
Dominos,1274
GoP,1399
MI STORE,5
MEDCINA PWD,11
Telenor,63898
BudgetOffer,560
TSF,11
JazzCash,19372
Koyal,250
Jazz,41256
YoutubeKaro,224
Phone Code,381
Easypaisa,7875
LiveCricket,139
Car-Tracker,55
EZ Gaming,987
IMO Offer,88
Google,1447
TELENOR,1729
Sozo Park,314
HBL AMC,1
NDMA,744
ZONG,60143
B-SMS,2502
FAISALMOVER,131
bjldsj,382
FMFB,2611
KCS,44
Snack Video,25
Bal Share,853
ECP,108
iSave,33
CitiHousing,2
MIZAJ,26
Likee,4
LIKEE,24
GOP,419
Digi Khata,1092
SIUT,3
Sky M,1
DC Multan,5
CORONAALERT,15
WGVS,1
Barwaqt,1234
smsapp,1
Hassan Jutt,1
BOP,608
Junaid Lodhi	,1
PTA,2574
THE IUB,5
CashMaal,437
EPTHURSDAY,23
TELEMART,14
FB-WA Offer,141
Realcashadd,1
PBS,30
S.B Link,2
AICASH,14
ZONG_GIFT,343
kwai,267
ʼUNKNOWN_SENDER!ʼ	,74
FHDC,13
FREE DATA,1361
SPBS,6968
Binance,1826
TRIVZIA,502
OLIVECASH,3086
SIM LAGAO,11810
Honda,77
AUTHMSG,366
Zong,4088
BreadBeyond,39
Apple,80
Load Gift,682
OFFER LAGAO,67
NEC,305
GiftForYou,1586
foodpanda,2026
ZONG OFFERS,25019
MyOfferGIFT,504
UDHAAR,408
SALE ALERT!,559
Savyour,287
MakeUrOffer,505
Parimatch,63
OfferExpiry,151
Ideas,599
TelenorEidi,263
Connect,550
Zong Gift,1225
ChughtaiLab,31
CHUGHTAILAB,244
MyZong,880
GulAhmed,143
COIN,42
xiaomi,26
TikTok,560
Qsms,267
SETTINGS,103
FREE MBs!,419
Load Bonus!,179
Apni Offer,411
SHEEP LOAN,55
CASHSMS,32
MTJ,86
GrocerApp,481
Scan & Win,1376
Entmt Offer,41
CloudOTP,51
LOAD Bonus,349
NCOC,487
LWMC,5
CarFirst,247
Jazztunes,5720
inDriver,59
SMS Alert,130
ZAMEEN,557
Ecommerce,40
Careem,801
Snapchat,140
Uber,431
FACEBOOK,1152
VisionOn,4
MEGA Easy,193
FLASH SALE!,1056
scan & win,162
Load Reward,1994
FurnitreXpo,145
DOUBLEVALUE,671
Discount!,1060
Bykea,641
LAST DAY!,121
MW Load,236
QR Offer,392
Free Parhai,83
BigDiscount,169
Easypasia,27
DISCOUNT!,487
Free GBs!,184
Sapphire,113
MEGA BACHAT,1095
Din Bhar,189
infobip,281
EID VALUE,21
QR Payments,14
Sunbeams,68
NAB,441
TelenorGift,127
RamadanSale,66
Mega Offer,995
TRACKINGPK,9
Tamaasha,268
Netflix,123
IMTIAZ,1158
Khaas Offer,323
MEGA SUNDAY,311
Jazzcash,193
JEETO MBs,135
DINBHARCALL,128
Invite&Earn,87
KhaasOffer,246
Bacht Offer,94
NADRA,474
Cric Mania,6
MatchDekho,23
Swvl,536
EXTRA MBs!,80
LATADAD Min,91
Invite&Win!,14
MONHSRC,120
Foran LAGAO,323
MAK,79
Alkaram,1073
SubahSeSham,30
SoundCloud,27
ApniOffer,81
ClashRoyale,11
SastiOffer!,94
GAMELOFT,88
Khas Stores,48
Win GIFT,14
NewYearSALE,26
FREE Calls,54
MORE DATA,31
BYKEA,229
Pizza Max,536
FREEcalling,257
MyTelenor,186
CoronaAlert,450
EasyCards,129
PUZZLES,19
GoMega!,65
Free Fire,74
Saudi Offer,38
Zyada Data,14
VALUE OFFER,226
KHAAS Offer,153
Eid Bonus,378
Free Snap,359
TestWebhook,262
DASTGYR,390
Audionic,45
FBR,248
FP Heroes,853
J.,688
TRAX,347
ChildLife,9
OLX,415
Zong GIft,36
MUFT CALLS,528
SZABIST KHI,5
CHEETAY,1938
ibex,196
SUPERSPACE,2
Habitt,83
LegalAidSoc,48
SHIELD,9
AladinPark,8
TABBA HEART,16
Fumigation,15
IGLOO,8
Airlift,2183
MoNHSRC,161
JAZZ Cares,2343
 ,318
Aladin Park,10
WhatsApp,762
Facebook,431
PBM,1
DastgyrTech,2
JAZZ GIFT,94
SKLive,8
Khas Sale!,5
PayPal,10
nxtele,95
Muft Data,286
BAHL,6
MBs for U!,135
Load Now,369
Load Bonus,425
PakNavy MTN,11
Mega BACHAT,36
Meezan HR,3
Tapmad TV,21
BONUS Hour,204
DISCOUNT,131
NAVTTC,31
Load MTA,124
Budget Offe,1145
FULLDAYCALL,1260
Load Bachat,61
Secure,380
LEOPARDS,937
MyOffer,149
ANTI CRIME,21
FREE MBs,93
YouTube Kro,13
ROZANACALLS,97
ZAHA,4
MUFT CALLs,227
telenor,72
CECOS,1
KHAADI,87
infoSMS,73
Youtube End,21
NGS,18
Zameen,159
Befiler,24
BIGO,106
Amazon,188
Indus Hosp,107
TBAUTH,3
SKMCH&RC,239
AKUH,133
elo,508
KFC,554
DINERS,730
ECG FAIRS,3
LahoreCentr,50
Business,213
BROADWAY,662
CallCourier,580
Entertainer,106
Baby Planet,525
BILAL TRVLS,44
Dawaai,181
MEDIX LAB,4
Emaar HS,10
Forrun,21
AKgalleria,52
Verify ID,3
blueEX,48
NETELLER,50
StanChart,47
FRESHSTORE,1
NEXT,30
THEBODYSHOP,33
AIRLIFT,15
STILE,24
TYPHOID,68
INFOSHARE,2
verify,6
PC Lahore,13
Zong-OR,191
Changhong,4
SANASAFINAZ,282
STARZ Play,58
Royal fans,11
Jazz Gold,761
FAL,7
Almirah,117
Leopards,145
SOZO,10
UBER,265
Notify,59
AK GALLERIA,3
TWITTER,46
ZongOR,65
PAF,132
Ethnic,215
LUSH CRUSH,2
BalanceShar,42
SAHARA,1
Alfa,4
DC Lahore,2
Carrefour,1197
CV SARKAR,2
SehatKahani,25
GENERATION,8
SWVL,27
TRAVEL,4
Luxus Grand,10
Khaadi,174
Badoo,3
EVERCARE,11
OPTP,405
INTERNET,15
CAREEM,22
Instagram,37
CONDIS,15
PFC,14
WARDA,420
Royal Tag,352
JAZZ GOLD,1941
FP-Homechef,35
NoonPremium,2
Noon,1
SINGLMUSLIM,17
KHARIDARI,1
SnackVideo,72
UNIQUE,63
Clopen,53
Zellbury,108
AIRBNB,3
Bingo Blitz,1
DAWATISLAMI,72
SMART SHOES,3
LIKE,52
WHATSAPP,6
BergerPaint,46
IMO,86
UPRISIA,9
Snack,47
FBS,33
OctoberNow,33
